㐄	㐄 㐄󠄀 㐄󠄁 㐄󠄂
薑	薑 薑󠄁 薑󠄂
薓	薓 薓󠄁 薓󠄂
薔	薔 薔󠄁 薔󠄂
薕	薕 薕󠄀 薕󠄁
薖	薖 薖󠄀 薖󠄁
薗	薗 薗󠄁 薗󠄂
薘	薘 薘󠄁 薘󠄂 薘󠄃
薙	薙 薙󠄁 薙󠄂
薛	薛 薛󠄁 薛󠄂
薜	薜 薜󠄁 薜󠄂
薝	薝 薝󠄁 薝󠄂
薟	薟 薟󠄁 薟󠄂
薠	薠 薠󠄁 薠󠄂
薢	薢 薢󠄁 薢󠄂
薤	薤 薤󠄁 薤󠄂
薥	薥 薥󠄁 薥󠄂
薦	薦 薦󠄁 薦󠄂
薧	薧 薧󠄁 薧󠄂
薨	薨 薨󠄁 薨󠄂
薩	薩 薩󠄂 薩󠄃 薩󠄄 薩󠄅
薪	薪 薪󠄁 薪󠄂
薫	薫 薫󠄁 薫󠄂 薫󠄃
薭	薭 薭󠄁 薭󠄂
薯	薯 薯󠄂 薯󠄃 薯󠄄
薰	薰 薰󠄁 薰󠄂
薳	薳 薳󠄀 薳󠄁
薴	薴 薴󠄁 薴󠄂
薵	薵 薵󠄀 薵󠄁
薶	薶 薶󠄁 薶󠄂
薷	薷 薷󠄁 薷󠄂
薸	薸 薸󠄁 薸󠄂
薹	薹 薹󠄁 薹󠄂
薺	薺 薺󠄁 薺󠄂
薼	薼 薼󠄁 薼󠄂
薽	薽 薽󠄁 薽󠄂
薾	薾 薾󠄁 薾󠄂
薿	薿 薿󠄁 薿󠄂
藁	藁 藁󠄁 藁󠄂
藂	藂 藂󠄁 藂󠄂
藇	藇 藇󠄁 藇󠄂
藉	藉 藉󠄁 藉󠄂 藉󠄃
藊	藊 藊󠄁 藊󠄂
藋	藋 藋󠄁 藋󠄂
藍	藍 藍󠄁 藍󠄂 藍󠄃
藎	藎 藎󠄁 藎󠄂
藏	藏 藏󠄂 藏󠄃 藏󠄄 藏󠄅
藐	藐 藐󠄁 藐󠄂
藕	藕 藕󠄂 藕󠄃 藕󠄄
藘	藘 藘󠄁 藘󠄂
藙	藙 藙󠄁 藙󠄂
藚	藚 藚󠄁 藚󠄂 藚󠄃
藜	藜 藜󠄁 藜󠄂
藝	藝 藝󠄁 藝󠄂
藟	藟 藟󠄁 藟󠄂
藠	藠 藠󠄁 藠󠄂
藡	藡 藡󠄁 藡󠄂 藡󠄃
藤	藤 藤󠄂 藤󠄃 藤󠄄 藤󠄅 藤󠄆
藥	藥 藥󠄁 藥󠄂 藥󠄃
藦	藦 藦󠄁 藦󠄂
藨	藨 藨󠄁 藨󠄂
藩	藩 藩󠄁 藩󠄂
藪	藪 藪󠄁 藪󠄂 藪󠄃
藫	藫 藫󠄀 藫󠄁
藭	藭 藭󠄁 藭󠄂
藳	藳 藳󠄁 藳󠄂
藴	藴 藴󠄁 藴󠄂
藶	藶 藶󠄁 藶󠄂
藷	藷 藷󠄂 藷󠄃 藷󠄄
藹	藹 藹󠄁 藹󠄂 藹󠄃
藺	藺 藺󠄁 藺󠄂
藻	藻 藻󠄁 藻󠄂
藼	藼 藼󠄁 藼󠄂 藼󠄃
藾	藾 藾󠄁 藾󠄂 藾󠄃
藿	藿 藿󠄁 藿󠄂
蘀	蘀 蘀󠄁 蘀󠄂
蘂	蘂 蘂󠄁 蘂󠄂
蘄	蘄 蘄󠄁 蘄󠄂
蘅	蘅 蘅󠄁 蘅󠄂
蘆	蘆 蘆󠄁 蘆󠄂
蘇	蘇 蘇󠄁 蘇󠄂 蘇󠄃 蘇󠄄
蘊	蘊 蘊󠄁 蘊󠄂
蘋	蘋 蘋󠄁 蘋󠄂 蘋󠄃
蘍	蘍 蘍󠄁 蘍󠄂
蘎	蘎 蘎󠄁 蘎󠄂
蘐	蘐 蘐󠄁 蘐󠄂
蘑	蘑 蘑󠄁 蘑󠄂
蘒	蘒 蘒󠄃 蘒󠄄 蘒󠄅 蘒󠄆 蘒󠄇 蘒󠄈 蘒󠄉 蘒󠄊
蘓	蘓 蘓󠄁 蘓󠄂
蘖	蘖 蘖󠄁 蘖󠄂 蘖󠄃
蘗	蘗 蘗󠄁 蘗󠄂
蘘	蘘 蘘󠄁 蘘󠄂 蘘󠄃
蘙	蘙 蘙󠄁 蘙󠄂 蘙󠄃
蘚	蘚 蘚󠄁 蘚󠄂 蘚󠄃
蘛	蘛 蘛󠄁 蘛󠄂
蘞	蘞 蘞󠄁 蘞󠄂
蘡	蘡 蘡󠄁 蘡󠄂
蘢	蘢 蘢󠄁 蘢󠄂 蘢󠄃
蘤	蘤 蘤󠄁 蘤󠄂 蘤󠄃
蘧	蘧 蘧󠄁 蘧󠄂 蘧󠄃
蘩	蘩 蘩󠄁 蘩󠄂 蘩󠄃
蘭	蘭 蘭󠄂 蘭󠄃 蘭󠄄
蘯	蘯 蘯󠄁 蘯󠄂
蘰	蘰 蘰󠄁 蘰󠄂 蘰󠄃
蘶	蘶 蘶󠄁 蘶󠄂 蘶󠄃
蘸	蘸 蘸󠄁 蘸󠄂
蘹	蘹 蘹󠄁 蘹󠄂
蘺	蘺 蘺󠄁 蘺󠄂
蘼	蘼 蘼󠄁 蘼󠄂
蘽	蘽 蘽󠄁 蘽󠄂
蘿	蘿 蘿󠄁 蘿󠄂
虀	虀 虀󠄁 虀󠄂
虁	虁 虁󠄁 虁󠄂 虁󠄃 虁󠄄
虂	虂 虂󠄁 虂󠄂
虆	虆 虆󠄁 虆󠄂
虋	虋 虋󠄀 虋󠄁
虎	虎 虎󠄂 虎󠄃 虎󠄈
虐	虐 虐󠄂 虐󠄃
虓	虓 虓󠄁 虓󠄂
虔	虔 虔󠄂 虔󠄃
虜	虜 虜󠄂 虜󠄃
虞	虞 虞󠄂 虞󠄃
虧	虧 虧󠄁 虧󠄂
虪	虪 虪󠄀 虪󠄁
虻	虻 虻󠄁 虻󠄂
蚈	蚈 蚈󠄁 蚈󠄂
蚉	蚉 蚉󠄁 蚉󠄂
蚊	蚊 蚊󠄂 蚊󠄃
蚋	蚋 蚋󠄁 蚋󠄂
蚌	蚌 蚌󠄁 蚌󠄂
蚜	蚜 蚜󠄁 蚜󠄂
蚣	蚣 蚣󠄁 蚣󠄂
蚤	蚤 蚤󠄁 蚤󠄂
蚩	蚩 蚩󠄁 蚩󠄂 蚩󠄃
蚫	蚫 蚫󠄁 蚫󠄂 蚫󠄃
蛟	蛟 蛟󠄁 蛟󠄂
蛢	蛢 蛢󠄀 蛢󠄁
蛧	蛧 蛧󠄁 蛧󠄂
蛩	蛩 蛩󠄁 蛩󠄂 蛩󠄃
蛪	蛪 蛪󠄀 蛪󠄁
蛫	蛫 蛫󠄀 蛫󠄁
蛸	蛸 蛸󠄂 蛸󠄃
蛻	蛻 蛻󠄁 蛻󠄂
蜃	蜃 蜃󠄂 蜃󠄃
蜈	蜈 蜈󠄁 蜈󠄂
蜉	蜉 蜉󠄁 蜉󠄂
蜎	蜎 蜎󠄁 蜎󠄂
蜑	蜑 蜑󠄁 蜑󠄂
蜒	蜒 蜒󠄁 蜒󠄂 蜒󠄃
蜚	蜚 蜚󠄂 蜚󠄃
蜩	蜩 蜩󠄁 蜩󠄂
蜷	蜷 蜷󠄂 蜷󠄃
蜹	蜹 蜹󠄁 蜹󠄂
蜻	蜻 蜻󠄂 蜻󠄃
蝄	蝄 蝄󠄀 蝄󠄁
蝅	蝅 蝅󠄁 蝅󠄂
蝍	蝍 蝍󠄁 蝍󠄂
蝎	蝎 蝎󠄁 蝎󠄂
蝐	蝐 蝐󠄀 蝐󠄁
蝓	蝓 蝓󠄁 蝓󠄂
蝕	蝕 蝕󠄂 蝕󠄃
蝘	蝘 蝘󠄁 蝘󠄂
蝙	蝙 蝙󠄂 蝙󠄃
蝝	蝝 蝝󠄁 蝝󠄂
蝱	蝱 蝱󠄁 蝱󠄂
蝳	蝳 蝳󠄀 蝳󠄁 蝳󠄂
蝷	蝷 蝷󠄀 蝷󠄁
蝹	蝹 蝹󠄀 蝹󠄁
螂	螂 螂󠄂 螂󠄃 螂󠄄 螂󠄅
螛	螛 螛󠄀 螛󠄁
螣	螣 螣󠄂 螣󠄃
螭	螭 螭󠄁 螭󠄂
螽	螽 螽󠄂 螽󠄃
蟀	蟀 蟀󠄁 蟀󠄂
蟄	蟄 蟄󠄁 蟄󠄂
蟆	蟆 蟆󠄁 蟆󠄂
蟇	蟇 蟇󠄁 蟇󠄂
蟒	蟒 蟒󠄃 蟒󠄄 蟒󠄅 蟒󠄆
蟙	蟙 蟙󠄁 蟙󠄂
蟣	蟣 蟣󠄁 蟣󠄂
蟫	蟫 蟫󠄁 蟫󠄂
蟶	蟶 蟶󠄁 蟶󠄂
蠁	蠁 蠁󠄁 蠁󠄂
蠂	蠂 蠂󠄀 蠂󠄁
蠃	蠃 蠃󠄂 蠃󠄃
蠅	蠅 蠅󠄃 蠅󠄄
蠆	蠆 蠆󠄁 蠆󠄂
蠇	蠇 蠇󠄁 蠇󠄂
蠍	蠍 蠍󠄁 蠍󠄂 蠍󠄃
蠎	蠎 蠎󠄂 蠎󠄃 蠎󠄄 蠎󠄅
蠓	蠓 蠓󠄁 蠓󠄂
蠖	蠖 蠖󠄁 蠖󠄂
蠚	蠚 蠚󠄁 蠚󠄂
蠛	蠛 蠛󠄁 蠛󠄂 蠛󠄃
蠟	蠟 蠟󠄁 蠟󠄂
蠡	蠡 蠡󠄁 蠡󠄂 蠡󠄃
蠣	蠣 蠣󠄁 蠣󠄂
蠨	蠨 蠨󠄁 蠨󠄂
蠪	蠪 蠪󠄀 蠪󠄁
蠫	蠫 蠫󠄀 蠫󠄁
蠭	蠭 蠭󠄁 蠭󠄂
蠶	蠶 蠶󠄃 蠶󠄄 蠶󠄅
衁	衁 衁󠄁 衁󠄂
衂	衂 衂󠄃 衂󠄄 衂󠄅
衆	衆 衆󠄂 衆󠄃 衆󠄄 衆󠄅
衊	衊 衊󠄁 衊󠄂 衊󠄃
衋	衋 衋󠄂 衋󠄃
術	術 術󠄂 術󠄃 術󠄄
衛	衛 衛󠄂 衛󠄃 衛󠄄 衛󠄅
衣	衣 衣󠄂 衣󠄃
衮	衮 衮󠄁 衮󠄂
衰	衰 衰󠄂 衰󠄄
衱	衱 衱󠄁 衱󠄂
衲	衲 衲󠄁 衲󠄂
袍	袍 袍󠄁 袍󠄂
袚	袚 袚󠄁 袚󠄂
袞	袞 袞󠄂 袞󠄃
袢	袢 袢󠄁 袢󠄂
袣	袣 袣󠄀 袣󠄁
袴	袴 袴󠄁 袴󠄂
裒	裒 裒󠄁 裒󠄂
裗	裗 裗󠄀 裗󠄁
裴	裴 裴󠄂 裴󠄃
裺	裺 裺󠄀 裺󠄁
複	複 複󠄁 複󠄂
褊	褊 褊󠄂 褊󠄃
褐	褐 褐󠄂 褐󠄃
褒	褒 褒󠄁 褒󠄂
褘	褘 褘󠄁 褘󠄂
褜	褜 褜󠄂 褜󠄃
褞	褞 褞󠄁 褞󠄂
褧	褧 褧󠄁 褧󠄂
褪	褪 褪󠄁 褪󠄂
褫	褫 褫󠄂 褫󠄃
褳	褳 褳󠄀 褳󠄁
褵	褵 褵󠄁 褵󠄂 褵󠄃
褶	褶 褶󠄁 褶󠄂
褻	褻 褻󠄂 褻󠄃
褼	褼 褼󠄀 褼󠄁
襁	襁 襁󠄂 襁󠄃
襃	襃 襃󠄁 襃󠄂
襄	襄 襄󠄁 襄󠄂
襊	襊 襊󠄀 襊󠄁
襖	襖 襖󠄂 襖󠄃
襚	襚 襚󠄁 襚󠄂
襪	襪 襪󠄂 襪󠄃 襪󠄄 襪󠄅
襯	襯 襯󠄂 襯󠄃
襱	襱 襱󠄀 襱󠄁
襲	襲 襲󠄁 襲󠄂
襴	襴 襴󠄁 襴󠄂
襺	襺 襺󠄁 襺󠄂
襼	襼 襼󠄁 襼󠄂
襽	襽 襽󠄁 襽󠄂
西	西 西󠄁 西󠄂
要	要 要󠄂 要󠄃
覃	覃 覃󠄁 覃󠄂 覃󠄃
覆	覆 覆󠄂 覆󠄃 覆󠄄
覇	覇 覇󠄂 覇󠄃
覈	覈 覈󠄁 覈󠄂
覉	覉 覉󠄁 覉󠄂
覊	覊 覊󠄁 覊󠄂
覍	覍 覍󠄁 覍󠄂
覐	覐 覐󠄁 覐󠄂 覐󠄃
視	視 視󠄂 視󠄃
覦	覦 覦󠄁 覦󠄂
覩	覩 覩󠄁 覩󠄂
覯	覯 覯󠄂 覯󠄃
覲	覲 覲󠄁 覲󠄂
覶	覶 覶󠄁 覶󠄂
覽	覽 覽󠄂 覽󠄃
觀	觀 觀󠄁 觀󠄂 觀󠄃
角	角 角󠄂 角󠄃 角󠄄
觓	觓 觓󠄀 觓󠄁
觚	觚 觚󠄁 觚󠄂
解	解 解󠄁 解󠄃
觧	觧 觧󠄁 觧󠄂
觴	觴 觴󠄁 觴󠄂
訊	訊 訊󠄃 訊󠄄
訒	訒 訒󠄂 訒󠄃
記	記 記󠄁 記󠄂
訛	訛 訛󠄁 訛󠄂
訝	訝 訝󠄃 訝󠄄 訝󠄅 訝󠄆
訟	訟 訟󠄂 訟󠄃
訥	訥 訥󠄁 訥󠄂
註	註 註󠄂 註󠄃 註󠄄
詎	詎 詎󠄁 詎󠄂
評	評 評󠄂 評󠄃
詠	詠 詠󠄁 詠󠄂
詤	詤 詤󠄀 詤󠄁 詤󠄂
詭	詭 詭󠄁 詭󠄂
詮	詮 詮󠄂 詮󠄃
該	該 該󠄁 該󠄂
詼	詼 詼󠄁 詼󠄂
誄	誄 誄󠄁 誄󠄂
誆	誆 誆󠄁 誆󠄂
認	認 認󠄂 認󠄃
誕	誕 誕󠄃 誕󠄄 誕󠄅
誚	誚 誚󠄁 誚󠄂
誠	誠 誠󠄂 誠󠄃
誤	誤 誤󠄂 誤󠄃 誤󠄄
誥	誥 誥󠄁 誥󠄂 誥󠄃
誨	誨 誨󠄁 誨󠄂
說	說 說󠄁 說󠄂
誮	誮 誮󠄁 誮󠄂
誷	誷 誷󠄁 誷󠄂
誹	誹 誹󠄂 誹󠄃
誾	誾 誾󠄁 誾󠄂
調	調 調󠄂 調󠄃
諄	諄 諄󠄁 諄󠄂
請	請 請󠄂 請󠄃
諍	諍 諍󠄁 諍󠄂
諛	諛 諛󠄂 諛󠄃 諛󠄄
諞	諞 諞󠄂 諞󠄃
諡	諡 諡󠄁 諡󠄂
諤	諤 諤󠄁 諤󠄂
諦	諦 諦󠄁 諦󠄂
諭	諭 諭󠄂 諭󠄃 諭󠄄
諮	諮 諮󠄃 諮󠄄
諱	諱 諱󠄁 諱󠄂 諱󠄃
諳	諳 諳󠄁 諳󠄂
諶	諶 諶󠄁 諶󠄂
諸	諸 諸󠄂 諸󠄃
諺	諺 諺󠄂 諺󠄃
諼	諼 諼󠄁 諼󠄂
諾	諾 諾󠄁 諾󠄂
諿	諿 諿󠄁 諿󠄂
謁	謁 謁󠄂 謁󠄃
謄	謄 謄󠄂 謄󠄃 謄󠄄
謊	謊 謊󠄁 謊󠄂 謊󠄃 謊󠄄
謋	謋 謋󠄁 謋󠄂
謎	謎 謎󠄂 謎󠄃
謔	謔 謔󠄁 謔󠄂
謗	謗 謗󠄁 謗󠄂
謙	謙 謙󠄂 謙󠄃
謚	謚 謚󠄁 謚󠄂 謚󠄃
講	講 講󠄂 講󠄃
謝	謝 謝󠄂 謝󠄃
謣	謣 謣󠄀 謣󠄁
謨	謨 謨󠄁 謨󠄂
謫	謫 謫󠄁 謫󠄂
謬	謬 謬󠄂 謬󠄃
謳	謳 謳󠄁 謳󠄂 謳󠄃
謷	謷 謷󠄁 謷󠄂
謹	謹 謹󠄂 謹󠄃 謹󠄄 謹󠄅
謾	謾 謾󠄂 謾󠄃
譁	譁 譁󠄂 譁󠄃 譁󠄄
譄	譄 譄󠄁 譄󠄂 譄󠄃 譄󠄆
譅	譅 譅󠄁 譅󠄂
譌	譌 譌󠄁 譌󠄂 譌󠄃
譏	譏 譏󠄁 譏󠄂 譏󠄃
譓	譓 譓󠄁 譓󠄂 譓󠄃
譖	譖 譖󠄃 譖󠄄
識	識 識󠄁 識󠄂
譚	譚 譚󠄂 譚󠄃
譜	譜 譜󠄂 譜󠄃
譡	譡 譡󠄀 譡󠄁
警	警 警󠄁 警󠄂
譩	譩 譩󠄁 譩󠄂
譪	譪 譪󠄀 譪󠄁 譪󠄂
譭	譭 譭󠄁 譭󠄂
譱	譱 譱󠄁 譱󠄂
譴	譴 譴󠄁 譴󠄂
護	護 護󠄁 護󠄂
讁	讁 讁󠄁 讁󠄂 讁󠄃
讉	讉 讉󠄀 讉󠄁
變	變 變󠄁 變󠄂
讋	讋 讋󠄁 讋󠄂
讌	讌 讌󠄁 讌󠄂
讙	讙 讙󠄁 讙󠄂
谺	谺 谺󠄁 谺󠄂 谺󠄃 谺󠄄
谾	谾 谾󠄁 谾󠄂
谿	谿 谿󠄁 谿󠄂
豁	豁 豁󠄁 豁󠄂 豁󠄃 豁󠄄
豅	豅 豅󠄁 豅󠄂
豓	豓 豓󠄁 豓󠄂
豕	豕 豕󠄁 豕󠄂 豕󠄃
豗	豗 豗󠄁 豗󠄂
豙	豙 豙󠄁 豙󠄂
豚	豚 豚󠄁 豚󠄂
象	象 象󠄁 象󠄂 象󠄃
豢	豢 豢󠄁 豢󠄂
豦	豦 豦󠄁 豦󠄂
豪	豪 豪󠄂 豪󠄃 豪󠄄
豫	豫 豫󠄁 豫󠄂
豬	豬 豬󠄁 豬󠄂
豶	豶 豶󠄁 豶󠄂
豹	豹 豹󠄂 豹󠄃
貓	貓 貓󠄁 貓󠄂
貘	貘 貘󠄁 貘󠄂
貛	貛 貛󠄂 貛󠄃
負	負 負󠄃 負󠄄 負󠄅
貧	貧 貧󠄂 貧󠄃
貨	貨 貨󠄂 貨󠄃
貫	貫 貫󠄂 貫󠄃 貫󠄄
貿	貿 貿󠄁 貿󠄂
賁	賁 賁󠄁 賁󠄂
賅	賅 賅󠄁 賅󠄂
資	資 資󠄃 資󠄄
賊	賊 賊󠄃 賊󠄄
賋	賋 賋󠄁 賋󠄂
賓	賓 賓󠄂 賓󠄃 賓󠄄
賔	賔 賔󠄀 賔󠄁
賭	賭 賭󠄂 賭󠄃
賲	賲 賲󠄁 賲󠄂
賺	賺 賺󠄁 賺󠄂
賻	賻 賻󠄁 賻󠄂
購	購 購󠄃 購󠄄 購󠄅
贅	贅 贅󠄂 贅󠄃
贈	贈 贈󠄂 贈󠄃
贉	贉 贉󠄁 贉󠄂
贊	贊 贊󠄁 贊󠄂
贎	贎 贎󠄁 贎󠄂
贏	贏 贏󠄂 贏󠄃 贏󠄄 贏󠄅
贐	贐 贐󠄁 贐󠄂
贑	贑 贑󠄀 贑󠄁
贓	贓 贓󠄁 贓󠄂
贛	贛 贛󠄁 贛󠄂
贜	贜 贜󠄁 贜󠄂 贜󠄃
赭	赭 赭󠄁 赭󠄂
赳	赳 赳󠄂 赳󠄃 赳󠄄
起	起 起󠄂 起󠄃
趂	趂 趂󠄁 趂󠄂
趙	趙 趙󠄂 趙󠄃
趩	趩 趩󠄀 趩󠄁
趯	趯 趯󠄁 趯󠄂
趹	趹 趹󠄁 趹󠄂 趹󠄃
趼	趼 趼󠄁 趼󠄂
跇	跇 跇󠄁 跇󠄂
跋	跋 跋󠄁 跋󠄂
跚	跚 跚󠄂 跚󠄃 跚󠄄 跚󠄅
距	距 距󠄂 距󠄃
跤	跤 跤󠄁 跤󠄂
跨	跨 跨󠄁 跨󠄂
跫	跫 跫󠄁 跫󠄂
跰	跰 跰󠄁 跰󠄂
跳	跳 跳󠄂 跳󠄃
踉	踉 踉󠄂 踉󠄃
踰	踰 踰󠄁 踰󠄂
踸	踸 踸󠄁 踸󠄂
蹃	蹃 蹃󠄀 蹃󠄁
蹄	蹄 蹄󠄁 蹄󠄂
蹆	蹆 蹆󠄀 蹆󠄁
蹈	蹈 蹈󠄁 蹈󠄂
蹊	蹊 蹊󠄂 蹊󠄃
蹋	蹋 蹋󠄁 蹋󠄂
蹕	蹕 蹕󠄁 蹕󠄂
蹞	蹞 蹞󠄁 蹞󠄂
蹢	蹢 蹢󠄁 蹢󠄂
蹮	蹮 蹮󠄀 蹮󠄁 蹮󠄂
蹱	蹱 蹱󠄁 蹱󠄂
蹲	蹲 蹲󠄁 蹲󠄂 蹲󠄃
蹷	蹷 蹷󠄁 蹷󠄂
躇	躇 躇󠄁 躇󠄂 躇󠄃
躉	躉 躉󠄁 躉󠄂
躍	躍 躍󠄂 躍󠄃
躑	躑 躑󠄂 躑󠄃 躑󠄄 躑󠄅
躚	躚 躚󠄁 躚󠄂 躚󠄃
躡	躡 躡󠄂 躡󠄃 躡󠄄
躪	躪 躪󠄁 躪󠄂
躬	躬 躬󠄁 躬󠄂
躯	躯 躯󠄁 躯󠄂
躰	躰 躰󠄁 躰󠄂
躽	躽 躽󠄀 躽󠄁
躾	躾 躾󠄁 躾󠄂
軀	軀 軀󠄁 軀󠄂
軄	軄 軄󠄁 軄󠄂
軅	軅 軅󠄁 軅󠄂
軆	軆 軆󠄁 軆󠄂
軈	軈 軈󠄁 軈󠄂
軔	軔 軔󠄂 軔󠄃
軱	軱 軱󠄁 軱󠄂
較	較 較󠄂 較󠄃
輓	輓 輓󠄂 輓󠄃
輝	輝 輝󠄁 輝󠄂
輞	輞 輞󠄁 輞󠄂
輤	輤 輤󠄀 輤󠄁
輩	輩 輩󠄂 輩󠄃
輸	輸 輸󠄂 輸󠄃
轄	轄 轄󠄃 轄󠄄 轄󠄅
轌	轌 轌󠄁 轌󠄂
轒	轒 轒󠄁 轒󠄂
轔	轔 轔󠄁 轔󠄂
轕	轕 轕󠄁 轕󠄂
轥	轥 轥󠄁 轥󠄂
辛	辛 辛󠄁 辛󠄂
辥	辥 辥󠄁 辥󠄂
辨	辨 辨󠄁 辨󠄂 辨󠄃
辬	辬 辬󠄀 辬󠄁
辭	辭 辭󠄁 辭󠄂
辱	辱 辱󠄁 辱󠄂 辱󠄃
辶	辶 辶󠄂 辶󠄃 辶󠄄
辷	辷 辷󠄁 辷󠄂
辺	辺 辺󠄁 辺󠄂
辻	辻 辻󠄂 辻󠄃
込	込 込󠄂 込󠄃
达	达 达󠄁 达󠄂
辿	辿 辿󠄂 辿󠄃
迂	迂 迂󠄂 迂󠄃
迃	迃 迃󠄀 迃󠄁 迃󠄂
迄	迄 迄󠄂 迄󠄃
迅	迅 迅󠄃 迅󠄄
迆	迆 迆󠄂 迆󠄃
迊	迊 迊󠄁 迊󠄂
迋	迋 迋󠄁 迋󠄂
迍	迍 迍󠄁 迍󠄂
迎	迎 迎󠄂 迎󠄃
近	近 近󠄂 近󠄃
迒	迒 迒󠄁 迒󠄂
迓	迓 迓󠄁 迓󠄂 迓󠄃
返	返 返󠄃 返󠄄
迕	迕 迕󠄁 迕󠄂
迚	迚 迚󠄁 迚󠄂
迠	迠 迠󠄁 迠󠄂
迡	迡 迡󠄀 迡󠄁
迢	迢 迢󠄁 迢󠄂
迣	迣 迣󠄁 迣󠄂
迤	迤 迤󠄁 迤󠄂
迥	迥 迥󠄁 迥󠄂
迦	迦 迦󠄂 迦󠄃
迨	迨 迨󠄁 迨󠄂
迩	迩 迩󠄂 迩󠄃 迩󠄄
迪	迪 迪󠄂 迪󠄃
迫	迫 迫󠄂 迫󠄃
迬	迬 迬󠄀 迬󠄁
迭	迭 迭󠄂 迭󠄃
迮	迮 迮󠄁 迮󠄂
迯	迯 迯󠄂 迯󠄃 迯󠄄
述	述 述󠄂 述󠄃 述󠄄
迱	迱 迱󠄁 迱󠄂
迴	迴 迴󠄁 迴󠄂
迵	迵 迵󠄁 迵󠄂
迷	迷 迷󠄂 迷󠄃
迸	迸 迸󠄁 迸󠄂
迹	迹 迹󠄁 迹󠄂
迺	迺 迺󠄂 迺󠄃
迻	迻 迻󠄁 迻󠄂
追	追 追󠄂 追󠄃
迾	迾 迾󠄁 迾󠄂
迿	迿 迿󠄀 迿󠄁
退	退 退󠄂 退󠄃
送	送 送󠄂 送󠄃
适	适 适󠄁 适󠄂
逃	逃 逃󠄃 逃󠄄
逄	逄 逄󠄁 逄󠄂 逄󠄃
逅	逅 逅󠄁 逅󠄂
逆	逆 逆󠄂 逆󠄃
逈	逈 逈󠄁 逈󠄂
逋	逋 逋󠄁 逋󠄂
逌	逌 逌󠄁 逌󠄂
逍	逍 逍󠄁 逍󠄂 逍󠄃
逎	逎 逎󠄂 逎󠄃 逎󠄄 逎󠄅
透	透 透󠄂 透󠄃
逐	逐 逐󠄂 逐󠄃 逐󠄄
逑	逑 逑󠄁 逑󠄂 逑󠄃
逓	逓 逓󠄁 逓󠄂
途	途 途󠄂 途󠄃
逕	逕 逕󠄁 逕󠄂
逖	逖 逖󠄁 逖󠄂 逖󠄃
逗	逗 逗󠄂 逗󠄃
逘	逘 逘󠄁 逘󠄂
這	這 這󠄂 這󠄃
通	通 通󠄂 通󠄃
逛	逛 逛󠄁 逛󠄂
逝	逝 逝󠄂 逝󠄃
逞	逞 逞󠄂 逞󠄃 逞󠄄 逞󠄅
速	速 速󠄂 速󠄃
造	造 造󠄂 造󠄃
逡	逡 逡󠄁 逡󠄂
逢	逢 逢󠄃 逢󠄄
連	連 連󠄂 連󠄃
逤	逤 逤󠄀 逤󠄁
逧	逧 逧󠄁 逧󠄂
逨	逨 逨󠄁 逨󠄂
逩	逩 逩󠄁 逩󠄂
逪	逪 逪󠄁 逪󠄂
逫	逫 逫󠄀 逫󠄁
逬	逬 逬󠄁 逬󠄂
逭	逭 逭󠄁 逭󠄂
逮	逮 逮󠄂 逮󠄃
逯	逯 逯󠄁 逯󠄂
週	週 週󠄂 週󠄃
進	進 進󠄂 進󠄃
逴	逴 逴󠄁 逴󠄂
逵	逵 逵󠄂 逵󠄃 逵󠄄
逶	逶 逶󠄁 逶󠄂
逷	逷 逷󠄁 逷󠄂
逸	逸 逸󠄃 逸󠄄 逸󠄅 逸󠄆 逸󠄇 逸󠄈
逹	逹 逹󠄂 逹󠄃 逹󠄄 逹󠄆
逺	逺 逺󠄀 逺󠄃
逼	逼 逼󠄂 逼󠄃
逾	逾 逾󠄁 逾󠄂 逾󠄃
逿	逿 逿󠄁 逿󠄂
遀	遀 遀󠄀 遀󠄁
遁	遁 遁󠄃 遁󠄄 遁󠄅
遂	遂 遂󠄃 遂󠄄 遂󠄅 遂󠄆
遄	遄 遄󠄁 遄󠄂
遅	遅 遅󠄁 遅󠄂
遇	遇 遇󠄂 遇󠄃 遇󠄄
遉	遉 遉󠄁 遉󠄂
遊	遊 遊󠄂 遊󠄃
運	運 運󠄂 運󠄃
遌	遌 遌󠄁 遌󠄂 遌󠄃
遍	遍 遍󠄂 遍󠄃
過	過 過󠄂 過󠄃 過󠄄
遏	遏 遏󠄁 遏󠄂 遏󠄃 遏󠄄
遐	遐 遐󠄂 遐󠄃 遐󠄄
遑	遑 遑󠄁 遑󠄂
遒	遒 遒󠄂 遒󠄃 遒󠄄 遒󠄅 遒󠄆 遒󠄇
道	道 道󠄂 道󠄃
達	達 達󠄂 達󠄃
違	違 違󠄃 違󠄄 違󠄅 違󠄆 違󠄇
遖	遖 遖󠄁 遖󠄂
遘	遘 遘󠄂 遘󠄃 遘󠄄 遘󠄅
遙	遙 遙󠄁 遙󠄂
遛	遛 遛󠄁 遛󠄂
遜	遜 遜󠄂 遜󠄃
遝	遝 遝󠄁 遝󠄂
遞	遞 遞󠄁 遞󠄂
遟	遟 遟󠄀 遟󠄁
遠	遠 遠󠄂 遠󠄃 遠󠄄
遡	遡 遡󠄂 遡󠄃
遢	遢 遢󠄁 遢󠄂 遢󠄃
遣	遣 遣󠄂 遣󠄃
遥	遥 遥󠄁 遥󠄂
